Name,Info,company
Mita Carriman,"Mita Carriman is the founder of Adventurely. Originally an IP Attorney from NY, Mita spent 5 years traveling while working remotely across 15 countries as a full-time digital nomad. The intersection of remote work and travel became her life's passion.",Adventurely
Erin Rowe,"Erin Rowe (she, her) is the founder and CEO of Allspring, a career coaching-as-a-service. A self-declared ""self-help nerd,"" Erin is committed to making career advice more accessible, imagining a world where everyone has access to an ""older sibling"" they trust to guide them through the many career decisions that come their way.Erin founded Allspring after (1) witnessing her successful and well-networked friends spending large amounts of time and money figuring out their career paths and (2) experiencing the difficulties of career change firsthand. When she's not building Allspring, you can find Erin outside-hiking, skiing (see @blackgirlskiing), or training for her next marathon.She has worked for Deloitte Consulting, Webflow, and Pinterest.",Allspring
Ashton Keys,"Ashton Keys is a Detroit native and an experienced architecture graduate from Michigan State University. He is an established professional in technology with experience working in UX design, engineering, product management, and growth marketing. He has held two prestigious entrepreneurship fellowships with Invest Detroit Ventures and Venture for America. He has a background in building digital marketplaces, where he most recently worked as a Product Manager at Rocket Homes, helping to launch their mobile app experience.Ashton is passionate about sports and technology. While establishing his company, Athlytic, Ashton was at the forefront of the NCAA's name, image, and likeness ruling.",Athlytic
Robert Hatcher,Robert Hatcher is the CEO and co-founder of Aurign. He graduated from Georgia State University with an MBA with a concentration in data science. He currently uses his skills as a data scientist and music publisher to provide workflow tools that help music publishers avoid losing $1 billion in royalties every year.,Aurign Inc
Chudi Iregbulem,"Chudi Iregbulem is the founder and CEO of Beatmatch, the dating app for music lovers. Originally from London with Nigerian descent, Chudi grew up in Los Angeles, CA and quickly developed a passion for music and technology. Chudi played saxophone, attended countless concerts and music festivals, and even became a nightclub DJ. He also holds a Bachelor of Science in Computer Science from Trinity College in Hartford, CT.Prior to starting Beatmatch, he worked almost a decade in tech as a software engineer and product manager at Amazon (AWS), ESPN, and Caviar.As an avid music lover, Chudi is now working with the biggest names and tech in music, including Techstars, Warner Music Group, Quality Control Music, Rhymesayers Entertainment, Concord Music, and more, to live out his dream and mission to connect the world through music.",Beatmatch
Anthony Joiner,"Anthony ""AJ"" Joiner is a radio personality, entrepreneur, author, and founder of BLOOKSY.COM, the software platform that uses artificial intelligence to help authors and academics write and publish faster.AJ spent almost 20 years building software in corporate America and has helped over 250 authors publish their books.His software, Blooksy, is being piloted in several universities, and hundreds of writers are using it to write books.He’s been on the #1 drivetime radio show—The Willie Moore Jr. Show, is a passionate New Orleans Saints fan, and proudly represents the #1 HBCU in America—Southern University.A native of Leesville, Louisiana, AJ loves nothing more than eating authentic Louisiana food and yelling ""Who Dat"" during football season.","Blooksy Publishing, Inc."
Candice Speicher,"Candice Speicher is Buoy Pricing’s co-founder and CCO. Candice is a visual problem solver with over a decade of experience working for companies like Beats by Dre, BET, and Howard University—which taught her how to communicate through clear and compelling design language.She has been working with her husband and co-founder, Tim, to address the issue of the future of work for the vacation rental sector. Candice defined Buoy's visual language, designed the brand, website, and interface, and strives to create technology that promotes economic mobility for entrepreneurs through progressive technology.","Buoy Pricing, Inc"
Kingsley Ezeani,"Kingsley Ezeani is a graduate of Harvard Kennedy School and the University of Oxford’s Said Business School, where he earned his MBA.He began working on CashEx after experiencing difficulties sending money to his younger siblings in Nigeria. Kingsley has 12 years of experience driving growth for digital businesses. Before CashEx, Kingsley founded a Nigerian media platform with 5 million users.Kingsley Ezeani is an Obama Foundation Leader and a winner of the Harvard Business School New Venture Competition due to his work.",CashEx
Kim Gaston,"Kim Gaston went from attending high school behind a housing project in Watts to attending Stanford University at age 16. At age 20, he became the world's youngest and first American Reinhard Mohn Fellow with Bertelsmann AG. He sold his first startup at age 25.While scaling a non-profit Ed-Tech startup to 250 LA-based classrooms out of the Stanford StartX program, Kim realized teachers were still carrying sack lunches to school each day in the age of meal delivery services. After inquiring about this phenomenon with hundreds of teachers, he realized there was an interesting niche in food tech, and created Chewbox with his friend and co-founder Solomon.Kim lives in Hawaii with his wife, and when he is not leading his team or enjoying family time, he is engrossed in a game of Madden NFL.","Chewbox, Inc."
Toby Egbuna,"Toby Egbuna is the co-founder and CEO of Chezie. Toby and his sister, Dumebi, launched Chezie to help companies create more inclusive workplaces. The duo hails from Lagos, Nigeria, and they're of the Igbo tribe. Chezie is the Igbo word for 'reflect.'",Chezie
